Opponent,Turns,Map,Avarage turn time
java LookaheadBot,14,maps/8planets/map2.txt,2
java LookaheadBot,12,maps/8planets/map1.txt,2
java LookaheadBot,14,maps/8planets/map3.txt,1
java SuperBullyBot,14,maps/8planets/map3.txt,1
java SuperBullyBot,11,maps/8planets/map2.txt,2
java SuperBullyBot,12,maps/8planets/map2.txt,2
java SuperBullyBot,13,maps/8planets/map3.txt,2
java SuperBullyBot,11,maps/8planets/map1.txt,2
java SuperBullyBot,12,maps/8planets/map1.txt,2
java GreedyBot,12,maps/8planets/map2.txt,2
java GreedyBot,12,maps/8planets/map1.txt,2
java GreedyBot,14,maps/8planets/map3.txt,2
java MMBot,30,maps/8planets/map2.txt,0
java MMBot,27,maps/8planets/map1.txt,1
java MMBot,27,maps/8planets/map2.txt,1
java MMBot,24,maps/8planets/map1.txt,1
java MMBot,42,maps/8planets/map3.txt,1
java MMBot,29,maps/8planets/map3.txt,1
java SimpleAdaptiveBot,14,maps/8planets/map3.txt,1
java SimpleAdaptiveBot,13,maps/8planets/map3.txt,1
java SimpleAdaptiveBot,11,maps/8planets/map1.txt,2
java SimpleAdaptiveBot,11,maps/8planets/map2.txt,3
java SimpleAdaptiveBot,12,maps/8planets/map1.txt,2
java SimpleAdaptiveBot,12,maps/8planets/map2.txt,2
