Opponent,Turns,Map,Avarage turn time
java RandomBot,8,maps/8planets/map1.txt,2
java RandomBot,19,maps/8planets/map1.txt,1
java RandomBot,8,maps/8planets/map2.txt,2
java RandomBot,11,maps/8planets/map3.txt,1
java RandomBot,8,maps/8planets/map3.txt,2
java RandomBot,13,maps/8planets/map2.txt,1
java BullyBot,12,maps/8planets/map3.txt,1
java BullyBot,33,maps/8planets/map1.txt,1
java BullyBot,29,maps/8planets/map3.txt,1
java BullyBot,22,maps/8planets/map1.txt,1
java BullyBot,19,maps/8planets/map2.txt,1
java AdaptiveBot,18,maps/8planets/map1.txt,1
java AdaptiveBot,17,maps/8planets/map3.txt,2
java AdaptiveBot,19,maps/8planets/map2.txt,2
java AdaptiveBot,8,maps/8planets/map3.txt,2
java AdaptiveBot,21,maps/8planets/map1.txt,1
java GreedyBot,14,maps/8planets/map2.txt,1
java GreedyBot,12,maps/8planets/map1.txt,1
java GreedyBot,14,maps/8planets/map3.txt,1
